Title,Directed by,Starring,Lead,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
Vater Morgana,Till Endemann,,,2010-12-16,12.0,93.0,Germany,German,,,,
Yogi Bear,Eric Brevig,"['Dan Aykroyd', 'Justin Timberlake', 'Anna Faris', 'Tom Cavanagh', 'T.J. Miller']",Dan Aykroyd,2010-12-11,12.0,80.0,United States,English,80000000.0,203500000.0,16411322.0,PG
The Last Circus,Álex de la Iglesia,"['Carlos Areces', 'Antonio de la Torre', 'Carolina Bang']",Carlos Areces,2010-09-07,9.0,107.0,Spain,Spanish,,,4757.0,R
Cousinhood,Daniel Sánchez Arévalo,"['Quim Gutiérrez', 'Raúl Arévalo', 'Adrián Lastra', 'Inma Cuesta']",Quim Gutiérrez,2011-01-13,1.0,97.0,Spain,Spanish,,,,
The Rite,Mikael Håfström,"['Anthony Hopkins', ""Colin O'Donoghue"", 'Alice Braga', 'Ciarán Hinds', 'Rutger Hauer']",Anthony Hopkins,2011-01-26,1.0,113.0,,English,37000000.0,96600000.0,14789393.0,PG-13
Kokowääh,Til Schweiger,"['Til Schweiger', 'Emma Tiger Schweiger', 'Jasmin Gerat', 'Samuel Finzi']",Til Schweiger,2011-02-03,2.0,126.0,Germany,German,,45400000.0,,
Unknown,Jaume Collet-Serra,"['Liam Neeson', 'Diane Kruger', 'January Jones', 'Aidan Quinn', 'Frank Langella']",Liam Neeson,2011-02-16,2.0,113.0,,English,,135700000.0,21856389.0,PG-13
Hall Pass,"['Peter Farrelly', 'Bobby Farrelly']","['Owen Wilson', 'Jason Sudeikis', 'Jenna Fischer', 'Richard Jenkins', 'Christina Applegate']",Owen Wilson,2011-02-25,2.0,105.0,United States,English,36000000.0,83200000.0,13535374.0,R
And Then What?,Özcan Deniz,"['Deniz Çakır', 'Özcan Deniz', 'Barış Falay', 'Ragıp Savaş']",Deniz Çakır,2011-02-25,2.0,105.0,Turkey,Turkish,,,13880.0,
Ironclad,Jonathan English,"['James Purefoy', 'Brian Cox', 'Derek Jacobi', 'Kate Mara', 'Paul Giamatti', 'Vladimir Kulich']",James Purefoy,2011-03-04,3.0,121.0,,English,25000000.0,,,R
Red Riding Hood,Catherine Hardwicke,"['Amanda Seyfried', 'Gary Oldman', 'Billy Burke', 'Shiloh Fernandez', 'Max Irons', 'Julie Christie']",Amanda Seyfried,2011-03-07,3.0,100.0,United States,English,42000000.0,90200000.0,14005335.0,PG-13
Sucker Punch,Zack Snyder,"['Emily Browning', 'Abbie Cornish', 'Jena Malone', 'Vanessa Hudgens', 'Jamie Chung', 'Carla Gugino', 'Oscar Isaac', 'Jon Hamm', 'Scott Glenn']",Emily Browning,2011-03-25,3.0,109.0,,English,82000000.0,89800000.0,19058199.0,PG-13
Arthur,Jason Winer,"['Russell Brand', 'Helen Mirren', 'Jennifer Garner', 'Greta Gerwig']",Russell Brand,2011-04-08,4.0,107.0,United States,English,40000000.0,48100000.0,15371270.0,PG-13
Born to Be Wild,David Lickley,"['Birute Galdikas', 'Daphne Sheldrick']",Birute Galdikas,2011-04-08,4.0,40.0,United States,English,,,1657008.0,PG
Something Borrowed,Luke Greenfield,"['Kate Hudson', 'Ginnifer Goodwin', 'John Krasinski', 'Colin Egglesfield', 'Steve Howey']",Kate Hudson,,,112.0,United States,English,35000000.0,60100000.0,13945368.0,PG-13
The Hangover Part II,Todd Phillips,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Ken Jeong', 'Jeffrey Tambor', 'Justin Bartha', 'Paul Giamatti']",Bradley Cooper,2011-05-19,5.0,101.0,United States,English,80000000.0,586800000.0,85946294.0,R
Green Lantern,Martin Campbell,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard', 'Mark Strong', 'Angela Bassett', 'Tim Robbins']",Ryan Reynolds,2011-06-15,6.0,114.0,United States,English,200000000.0,219900000.0,53174303.0,PG-13
Horrible Bosses,Seth Gordon,"['Jason Bateman', 'Charlie Day', 'Jason Sudeikis', 'Jennifer Aniston', 'Colin Farrell', 'Kevin Spacey', 'Donald Sutherland', 'Jamie Foxx']",Jason Bateman,2011-06-30,6.0,98.0,United States,English,35000000.0,209600000.0,28302165.0,R
Harry Potter and the Deathly Hallows – Part 2,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Ralph Fiennes', 'Michael Gambon', 'John Hurt', 'Jason Isaacs', 'Gary Oldman', 'Alan Rickman', 'Maggie Smith', 'David Thewlis', 'Julie Walters']",Daniel Radcliffe,2011-07-07,7.0,130.0,,English,250000000.0,1342000000.0,169189427.0,PG-13
"Crazy, Stupid, Love.","['Glenn Ficarra', 'John Requa']","['Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone', 'John Carroll Lynch', 'Marisa Tomei', 'Kevin Bacon']",Steve Carell,2011-07-19,7.0,118.0,United States,English,50000000.0,145000000.0,19104303.0,PG-13
Final Destination 5,Steven Quale,"[""Nicholas D'Agosto"", 'Emma Bell', 'Miles Fisher', 'Arlen Escarpeta', 'David Koechner', 'Tony Todd']",Nicholas D'Agosto,2011-08-04,8.0,92.0,United States,English,40000000.0,157900000.0,18031396.0,R
The Skin I Live In,Pedro Almodóvar,"['Antonio Banderas', 'Elena Anaya', 'Marisa Paredes', 'Jan Cornet', 'Roberto Álamo']",Antonio Banderas,2011-05-19,5.0,120.0,Spain,Spanish,13500000.0,30800000.0,223119.0,R
Contagion,Steven Soderbergh,"['Marion Cotillard', 'Matt Damon', 'Laurence Fishburne', 'Jude Law', 'Gwyneth Paltrow', 'Kate Winslet', 'Bryan Cranston', 'Jennifer Ehle', 'Sanaa Lathan']",Marion Cotillard,2011-09-03,9.0,106.0,United States,English,60000000.0,136500000.0,22403596.0,PG-13
Top Cat: The Movie,Alberto Mar,"['Raul Anaya', 'Jorge Arvizu', 'Jesús Guzmán', 'Eduardo Garza', 'Mario Castañeda', 'Ricardo Tejedo']",Raul Anaya,2011-09-16,9.0,91.0,,,,,,PG
Dolphin Tale,Charles Martin Smith,"['Harry Connick Jr', 'Ashley Judd', 'Nathan Gamble', 'Kris Kristofferson', 'Cozi Zuehlsdorff', 'Morgan Freeman']",Harry Connick Jr,,,113.0,United States,English,37000000.0,95900000.0,19152401.0,PG
No Rest for the Wicked,Enrique Urbizu,"['José Coronado', 'Juanjo Artero', 'Helena Miquel']",José Coronado,2011-11-23,11.0,,Spain,Spanish,,5900000.0,,
Dream House,Jim Sheridan,"['Daniel Craig', 'Rachel Weisz', 'Naomi Watts', 'Marton Csokas', 'Elias Koteas', 'Jane Alexander']",Daniel Craig,2011-09-30,9.0,92.0,,English,50000000.0,40000000.0,8129355.0,PG-13
The Artist,Michel Hazanavicius,"['Jean Dujardin', 'Bérénice Bejo', 'James Cromwell', 'Penelope Ann Miller', 'Malcolm McDowell', 'Missi Pyle', 'Beth Grant', 'Ed Lauter', 'Joel Murray', 'Ken Davitian', 'John Goodman']",Jean Dujardin,2011-05-15,5.0,100.0,France,,15000000.0,133400000.0,204878.0,PG-13
The Worst Week of My Life,Alessandro Genovesi,"['Fabio De Luigi', 'Cristiana Capotondi', 'Alessandro Siani']",Fabio De Luigi,2011-10-28,10.0,93.0,Italy,Italian,,,,
A Very Harold & Kumar 3D Christmas,Todd Strauss-Schulson,"['John Cho', 'Kal Penn', 'Neil Patrick Harris']",John Cho,2011-11-04,11.0,89.0,United States,English,19000000.0,36200000.0,12954142.0,R
J. Edgar,Clint Eastwood,"['Leonardo DiCaprio', 'Naomi Watts', 'Armie Hammer', 'Josh Lucas', 'Judi Dench']",Leonardo DiCaprio,2011-11-03,11.0,137.0,United States,English,35000000.0,84900000.0,11217324.0,R
Happy Feet Two,George Miller,"['Elijah Wood', 'Robin Williams', 'Hank Azaria', 'P!nk', 'Brad Pitt', 'Matt Damon', 'Richard Carter', 'Common', 'Sofia Vergara', 'Magda Szubanski', 'Hugo Weaving', 'Anthony LaPaglia']",Elijah Wood,2011-11-13,11.0,100.0,,English,135000000.0,150400000.0,21237068.0,PG
Black Gold,Jean-Jacques Annaud,"['Tahar Rahim', 'Mark Strong', 'Antonio Banderas', 'Freida Pinto', 'Riz Ahmed', 'Corey Johnson', 'Liya Kebede']",Tahar Rahim,2011-10-25,10.0,130.0,,English,40000000.0,5500000.0,6764.0,
New Year's Eve,Garry Marshall,"['Halle Berry', 'Jessica Biel', 'Jon Bon Jovi', 'Abigail Breslin', 'Chris ""Ludacris"" Bridges', 'Robert De Niro', 'Josh Duhamel', 'Zac Efron', 'Héctor Elizondo', 'Katherine Heigl', 'Ashton Kutcher', 'Seth Meyers', 'Lea Michele', 'Sarah Jessica Parker', 'Michelle Pfeiffer', 'Til Schweiger', 'Hilary Swank', 'Sofía Vergara']",Halle Berry,2011-12-09,12.0,118.0,United States,English,56000000.0,142000000.0,13019180.0,PG-13
Sherlock Holmes: A Game of Shadows,Guy Ritchie,"['Robert Downey Jr.', 'Jude Law', 'Noomi Rapace', 'Jared Harris', 'Eddie Marsan', 'Rachel McAdams']",Robert Downey Jr.,2011-12-16,12.0,129.0,,English,125000000.0,545400000.0,39637079.0,PG-13
Extremely Loud & Incredibly Close,Stephen Daldry,"['Tom Hanks', 'Sandra Bullock', 'Thomas Horn', 'Max von Sydow', 'Viola Davis', 'John Goodman', 'Jeffrey Wright']",Tom Hanks,2011-12-25,12.0,129.0,United States,English,40000000.0,55200000.0,72348.0,PG-13
Joyful Noise,Todd Graff,"['Queen Latifah', 'Dolly Parton', 'Keke Palmer', 'Jeremy Jordan', 'Courtney B. Vance', 'Kris Kristofferson']",Queen Latifah,2012-01-13,1.0,118.0,United States,English,25000000.0,31200000.0,11225190.0,PG-13
Journey 2: The Mysterious Island,Brad Peyton,"['Dwayne Johnson', 'Michael Caine', 'Josh Hutcherson', 'Vanessa Hudgens', 'Luis Guzmán', 'Kristin Davis']",Dwayne Johnson,2012-01-19,1.0,94.0,United States,English,80000000.0,335000000.0,27335363.0,PG
Love,Doze Niu,"['Zhao Wei', 'Shu Qi', 'Mark Chao', 'Ethan Juan', 'Eddie Peng', 'Amber Kuo', 'Ivy Chen', 'Doze Niu']",Zhao Wei,2012-02-10,2.0,150.0,,,,,29301.0,
Project X,Nima Nourizadeh,"['Thomas Mann', 'Oliver Cooper', 'Jonathan Daniel Brown']",Thomas Mann,2012-03-02,3.0,88.0,United States,English,12000000.0,102700000.0,21051363.0,R
Wrath of the Titans,Jonathan Liebesman,"['Sam Worthington', 'Rosamund Pike', 'Bill Nighy', 'Édgar Ramírez', 'Toby Kebbell', 'Danny Huston', 'Ralph Fiennes', 'Liam Neeson']",Sam Worthington,2012-03-28,3.0,99.0,,English,150000000.0,302000000.0,33457188.0,PG-13
The Lucky One,Scott Hicks,"['Zac Efron', 'Taylor Schilling', 'Jay R. Ferguson', 'Blythe Danner']",Zac Efron,2012-04-20,4.0,100.0,United States,English,25000000.0,99400000.0,22518358.0,PG-13
To the Arctic 3D,Greg MacGillivray,,,2012-04-20,4.0,40.0,United States,English,,23700000.0,270228.0,G
Dark Shadows,Tim Burton,"['Johnny Depp', 'Michelle Pfeiffer', 'Helena Bonham Carter', 'Eva Green', 'Jackie Earle Haley', 'Jonny Lee Miller', 'Chloë Grace Moretz', 'Bella Heathcote']",Johnny Depp,2012-05-07,5.0,113.0,United States,English,150000000.0,245500000.0,29685274.0,PG-13
Chernobyl Diaries,Brad Parker,"['Jonathan Sadowski', 'Jesse McCartney', 'Devin Kelley', 'Olivia Taylor Dudley', 'Ingrid Bolsø Berdal', 'Nathan Phillips', 'Dimitri Diatchenko']",Jonathan Sadowski,2012-05-25,5.0,86.0,United States,English,1000000.0,37200000.0,7955307.0,R
Rock of Ages,Adam Shankman,"['Julianne Hough', 'Diego Boneta', 'Russell Brand', 'Paul Giamatti', 'Catherine Zeta-Jones', 'Malin Åkerman', 'Mary J. Blige', 'Alec Baldwin', 'Tom Cruise']",Julianne Hough,2012-06-15,6.0,123.0,United States,English,75000000.0,59400000.0,14437269.0,PG-13
Magic Mike,Steven Soderbergh,"['Channing Tatum', 'Alex Pettyfer', 'Matthew McConaughey', 'Cody Horn', 'Olivia Munn', 'Matt Bomer', 'Riley Keough', 'Joe Manganiello', 'Kevin Nash', 'Adam Rodriguez', 'Gabriel Iglesias']",Channing Tatum,2012-06-24,6.0,110.0,United States,English,7000000.0,167200000.0,39127170.0,R
The Dark Knight Rises,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman']",Christian Bale,2012-07-16,7.0,165.0,,English,250000000.0,1081000000.0,160887295.0,PG-13
The Campaign,Jay Roach,"['Will Ferrell', 'Zach Galifianakis', 'Jason Sudeikis', 'Katherine LaNasa', 'Dylan McDermott', 'John Lithgow', 'Dan Aykroyd', 'Brian Cox']",Will Ferrell,2012-08-04,8.0,85.0,United States,English,95000000.0,104900000.0,26588460.0,R
The Apparition,Todd Lincoln,"['Ashley Greene', 'Sebastian Stan', 'Tom Felton']",Ashley Greene,2012-08-24,8.0,82.0,,English,17000000.0,,2841488.0,PG-13
Rurouni Kenshin,Keishi Ōtomo,"['Takeru Satoh', 'Emi Takei', 'Kōji Kikkawa', 'Yū Aoi', 'Munetaka Aoki', 'Gō Ayano', 'Eiji Okuda', 'Yōsuke Eguchi', 'Teruyuki Kagawa']",Takeru Satoh,2012-08-25,8.0,135.0,Japan,Japanese,20000000.0,62500000.0,,
Now Is Good,Ol Parker,"['Dakota Fanning', 'Jeremy Irvine', 'Paddy Considine', 'Olivia Williams', 'Kaya Scodelario']",Dakota Fanning,2012-08-31,8.0,103.0,,English,,2600000.0,,PG-13
Trouble with the Curve,Robert Lorenz,"['Clint Eastwood', 'Amy Adams', 'Justin Timberlake', 'John Goodman']",Clint Eastwood,2012-09-21,9.0,111.0,United States,English,60000000.0,49000000.0,12162040.0,PG-13
Guardians,Til Schweiger,"['Til Schweiger', 'Luna Schweiger', 'Moritz Bleibtreu']",Til Schweiger,2012-06-24,6.0,133.0,Germany,German,,,,
Argo,Ben Affleck,"['Ben Affleck', 'Bryan Cranston', 'Alan Arkin', 'John Goodman']",Ben Affleck,2012-08-31,8.0,120.0,United States,English,44500000.0,232300000.0,19458109.0,R
Measuring the World,Detlev Buck,"['Florian David Fitz', 'Albrecht Schuch']",Florian David Fitz,2012-10-25,10.0,119.0,,German,,,,
Cloud Atlas,"['Lana Wachowski', 'Tom Tykwer', 'Lilly Wachowski']","['Tom Hanks', 'Halle Berry', 'Jim Broadbent', 'Hugo Weaving', 'Jim Sturgess', 'Doona Bae', 'Ben Whishaw', ""James D'Arcy"", 'Zhou Xun', 'Keith David', 'Susan Sarandon', 'Hugh Grant']",Tom Hanks,2012-09-08,9.0,172.0,,English,100000000.0,130500000.0,9612247.0,R
The Hobbit: An Unexpected Journey,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'James Nesbitt', 'Ken Stott', 'Cate Blanchett', 'Ian Holm', 'Christopher Lee', 'Hugo Weaving', 'Elijah Wood', 'Andy Serkis']",Ian McKellen,2012-11-28,11.0,169.0,,English,200000000.0,1016999999.9999999,84617303.0,PG-13
Gangster Squad,Ruben Fleischer,"['Josh Brolin', 'Ryan Gosling', 'Nick Nolte', 'Emma Stone', 'Anthony Mackie', 'Giovanni Ribisi', 'Michael Peña', 'Sean Penn']",Josh Brolin,2013-01-07,1.0,113.0,United States,English,60000000.0,105200000.0,17070347.0,R
Miffy the Movie,Hans Perk,"['Eva Poppink', 'Marc-Marie Huijbregts', 'Hanna Verboom', 'Barry Atsma', 'Isa Hoes']",Eva Poppink,2013-01-30,1.0,70.0,,,,,,
Bullet to the Head,Walter Hill,"['Sylvester Stallone', 'Sung Kang', 'Sarah Shahi', 'Adewale Akinnuoye-Agbaje', 'Christian Slater', 'Jason Momoa']",Sylvester Stallone,2012-11-14,11.0,91.0,United States,English,40000000.0,22600000.0,4548201.0,R
Beautiful Creatures,Richard LaGravenese,"['Alden Ehrenreich', 'Alice Englert', 'Jeremy Irons', 'Viola Davis', 'Emmy Rossum', 'Thomas Mann', 'Emma Thompson']",Alden Ehrenreich,2013-01-19,1.0,124.0,United States,English,50000000.0,60100000.0,7582595.0,PG-13
A Certain Magical Index: The Movie – The Miracle of Endymion,Hiroshi Nishikiori,"['Atsushi Abe', 'Yuka Iguchi', 'Rina Satō', 'Sachika Misawa']",Atsushi Abe,2013-02-23,2.0,90.0,Japan,Japanese,,,,
Jack the Giant Slayer,Bryan Singer,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Stanley Tucci', 'Ian McShane', 'Bill Nighy', 'Ewan McGregor']",Nicholas Hoult,2013-02-26,2.0,115.0,United States,English,195000000.0,197700000.0,27202226.0,PG-13
I'm So Excited!,Pedro Almodóvar,"['Antonio de la Torre', 'Hugo Silva', 'Miguel Ángel Silvestre', 'Laya Martí', 'Javier Cámara', 'Carlos Areces', 'Raúl Arévalo', 'José María Yazpik', 'Guillermo Toledo', 'José Luis Torrijo', 'Lola Dueñas', 'Cecilia Roth', 'Blanca Suárez']",Antonio de la Torre,2013-03-08,3.0,90.0,Spain,Spanish,,21200000.0,97328.0,R
The Incredible Burt Wonderstone,Don Scardino,"['Steve Carell', 'Steve Buscemi', 'Olivia Wilde', 'Alan Arkin', 'James Gandolfini', 'Jim Carrey']",Steve Carell,2013-03-08,3.0,100.0,United States,English,34000000.0,27400000.0,10177257.0,PG-13
The Last Days,"['David Pastor', 'Àlex Pastor']","['Quim Gutiérrez', 'José Coronado', 'Marta Etura']",Quim Gutiérrez,2013-03-20,3.0,100.0,Spain,,,,20492.0,PG-13
Selam,Levent Demirkale,"['Burcin Abdullah', 'Selma Alisphic', 'Tina Cvitanovic']",Burcin Abdullah,2013-03-29,3.0,104.0,Turkey,Turkish,,,,
42,Brian Helgeland,"['Chadwick Boseman', 'Harrison Ford', 'Nicole Beharie', 'Christopher Meloni', 'André Holland', 'Lucas Black', 'Hamish Linklater', 'Ryan Merriman']",Chadwick Boseman,2013-04-12,4.0,128.0,United States,English,40000000.0,97500000.0,27487144.0,PG-13
Shield of Straw,Takashi Miike,"['Takao Osawa', 'Nanako Matsushima', 'Tatsuya Fujiwara', 'Tsutomu Yamazaki']",Takao Osawa,2013-04-26,4.0,125.0,Japan,Japanese,,8800000.0,,
The Great Gatsby,Baz Luhrmann,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan', 'Joel Edgerton', 'Isla Fisher', 'Jason Clarke']",Leonardo DiCaprio,2013-05-01,5.0,142.0,,English,105000000.0,353600000.0,50085185.0,PG-13
The Hangover Part III,Todd Phillips,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Ken Jeong', 'Melissa McCarthy', 'Heather Graham', 'Jeffrey Tambor', 'Justin Bartha', 'John Goodman']",Bradley Cooper,2013-05-20,5.0,100.0,United States,English,103000000.0,362000000.0,41671198.0,R
Man of Steel,Zack Snyder,"['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane', 'Laurence Fishburne', 'Antje Traue', 'Ayelet Zurer', 'Christopher Meloni', 'Russell Crowe']",Henry Cavill,2013-06-10,6.0,143.0,,English,225000000.0,668000000.0,116619362.0,PG-13
Gintama: The Movie:The Final Chapter:Be Forever Yorozuya,Yoichi Fujita,"['Tomokazu Sugita', 'Daisuke Sakaguchi', 'Rie Kugimiya', 'Susumu Chiba', 'Kazuya Nakai', 'Kenichi Suzumura', 'Akira Ishida', 'Kōichi Yamadera']",Tomokazu Sugita,2013-07-06,7.0,110.0,Japan,Japanese,,,,
Pacific Rim,Guillermo del Toro,"['Charlie Hunnam', 'Idris Elba', 'Rinko Kikuchi', 'Charlie Day', 'Rob Kazinsky', 'Max Martini', 'Ron Perlman', 'Mana Ashida']",Charlie Hunnam,2013-07-01,7.0,132.0,United States,English,180000000.0,411000000.0,37285325.0,PG-13
The Conjuring,James Wan,"['Vera Farmiga', 'Patrick Wilson', 'Ron Livingston', 'Lili Taylor']",Vera Farmiga,2013-07-15,7.0,112.0,United States,English,20000000.0,320300000.0,41855326.0,R
We're the Millers,Rawson Marshall Thurber,"['Jennifer Aniston', 'Jason Sudeikis', 'Emma Roberts', 'Will Poulter', 'Nick Offerman', 'Kathryn Hahn', 'Ed Helms']",Jennifer Aniston,2013-08-03,8.0,110.0,United States,English,37000000.0,270000000.0,26419396.0,R
Getaway,Courtney Solomon,"['Ethan Hawke', 'Selena Gomez', 'James Maslow', 'Jon Voight', 'Rebecca Budig', 'Bruce Payne']",Ethan Hawke,2013-08-26,8.0,90.0,United States,English,18000000.0,11800000.0,,
Family United,Daniel Sánchez Arévalo,"['Antonio de la Torre', 'Roberto Álamo']",Antonio de la Torre,2013-09-13,9.0,95.0,Spain,Spanish,,,,
Unforgiven,Lee Sang-il,Ken Watanabe,K,2013-09-06,9.0,135.0,Japan,,,,15018007.0,R
Prisoners,Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Maria Bello', 'Terrence Howard', 'Melissa Leo', 'Paul Dano']",Hugh Jackman,2013-08-30,8.0,153.0,United States,English,46000000.0,122100000.0,20817053.0,R
Gravity,Alfonso Cuarón,"['Sandra Bullock', 'George Clooney']",Sandra Bullock,2013-08-28,8.0,91.0,,English,80000000.0,723200000.0,55785112.0,PG-13
R100,Hitoshi Matsumoto,"['Nao Ōmori', 'Shinobu Terajima', 'Hitoshi Matsumoto', 'Ai Tominaga', 'Eriko Sato']",Nao Ōmori,2013-09-12,9.0,94.0,Japan,Japanese,,,7263.0,
Mindscape,Jorge Dorado,"['Mark Strong', 'Taissa Farmiga', 'Noah Taylor', 'Brian Cox']",Mark Strong,2013-10-13,10.0,99.0,,English,4400000.0,1200000.0,2541.0,R
Frau Ella,Markus Goller,"['Matthias Schweighöfer', 'Ruth Maria Kubitschek']",Matthias Schweighöfer,2013-10-17,10.0,105.0,Germany,German,,,,
It All Began When I Met You,Katsuhide Motoki,"['Hiroshi Tamaki', 'Rin Takanashi', 'Fumino Kimura', 'Masahiro Higashide', 'Tsubasa Honda', 'Miwako Ichikawa', 'Saburō Tokitō', 'Nene Otsuka', 'Nenji Kobayashi', 'Chieko Baisho']",Hiroshi Tamaki,2013-11-22,11.0,106.0,Japan,Japanese,,,,
The Hobbit: The Desolation of Smaug,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Benedict Cumberbatch', 'Evangeline Lilly', 'Lee Pace', 'Luke Evans', 'Ken Stott', 'James Nesbitt', 'Orlando Bloom']",Ian McKellen,2013-12-02,12.0,161.0,,English,191200000.0,958400000.0,73645197.0,PG-13
Her,Spike Jonze,"['Joaquin Phoenix', 'Amy Adams', 'Rooney Mara', 'Olivia Wilde', 'Scarlett Johansson']",Joaquin Phoenix,2013-10-12,10.0,126.0,United States,English,23000000.0,48300000.0,260382.0,R
Grudge Match,Peter Segal,"['Sylvester Stallone', 'Robert De Niro', 'Kevin Hart', 'Alan Arkin', 'Kim Basinger', 'Jon Bernthal']",Sylvester Stallone,2013-12-25,12.0,113.0,United States,English,40000000.0,44900000.0,7021993.0,PG-13
Black Butler,"['Kentarō Ōtani', 'Keiichi Satō']","['Hiro Mizushima', 'Ayame Goriki']",Hiro Mizushima,2014-01-18,1.0,119.0,Japan,Japanese,,5800000.0,,
Joy of Fatherhood,Matthias Schweighöfer,"['Matthias Schweighöfer', 'Isabell Polak']",Matthias Schweighöfer,2014-02-06,2.0,110.0,Germany,German,,,,
The Lego Movie,"['Phil Lord', 'Christopher Miller']","['Chris Pratt', 'Will Ferrell', 'Elizabeth Banks', 'Will Arnett', 'Nick Offerman', 'Alison Brie', 'Charlie Day', 'Liam Neeson', 'Morgan Freeman']",Chris Pratt,2014-02-01,2.0,100.0,,English,60000000.0,468100000.0,69050279.0,PG
Winter's Tale,Akiva Goldsman,"['Colin Farrell', 'Jessica Brown Findlay', 'Jennifer Connelly', 'William Hurt', 'Eva Marie Saint', 'Russell Crowe']",Colin Farrell,2014-02-13,2.0,118.0,United States,English,75000000.0,30800000.0,7297694.0,PG-13
A Small September Affair,Kerem Deren,"['Engin Akyürek', 'Farah Zeynep Abdullah']",Engin Akyürek,2014-02-14,2.0,106.0,Turkey,Turkish,,,,
Recep İvedik 4,Togan Gökbakar,"['Şahan Gökbakar', 'Baris Bulut', 'Murat Ergun']",Şahan Gökbakar,2014-02-21,2.0,117.0,Turkey,Turkish,,,,
300: Rise of an Empire,Noam Murro,"['Sullivan Stapleton', 'Eva Green', 'Lena Headey', 'Hans Matheson', 'Rodrigo Santoro']",Sullivan Stapleton,2014-03-04,3.0,102.0,United States,English,110000000.0,337600000.0,45038460.0,R
Veronica Mars,Rob Thomas,"['Kristen Bell', 'Jason Dohring', 'Krysten Ritter', 'Ryan Hansen', 'Francis Capra', 'Percy Daggs III', 'Chris Lowell', 'Tina Majorino', 'Enrico Colantoni']",Kristen Bell,2014-03-08,3.0,107.0,United States,English,6000000.0,3500000.0,1988351.0,PG-13
Island of Lemurs: Madagascar,David Douglas,,,2014-04-04,4.0,41.0,,English,,,188307.0,
Transcendence,Wally Pfister,"['Johnny Depp', 'Morgan Freeman', 'Rebecca Hall', 'Kate Mara', 'Cillian Murphy', 'Cole Hauser', 'Paul Bettany']",Johnny Depp,2014-04-10,4.0,119.0,United States,English,100000000.0,103000000.0,10886386.0,PG-13
Godzilla,Gareth Edwards,"['Aaron Taylor-Johnson', 'Ken Watanabe', 'Elizabeth Olsen', 'Juliette Binoche', 'Sally Hawkins', 'David Strathairn', 'Bryan Cranston']",Aaron Taylor-Johnson,2014-05-08,5.0,123.0,United States,English,160000000.0,529000000.0,93188384.0,PG-13
Blended,Frank Coraci,"['Adam Sandler', 'Drew Barrymore', 'Kevin Nealon', 'Terry Crews', 'Wendi McLendon-Covey']",Adam Sandler,2014-05-23,5.0,117.0,United States,English,,128000000.0,14284031.0,PG-13
Edge of Tomorrow,Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']",Tom Cruise,2014-05-28,5.0,113.0,United States,English,178000000.0,370500000.0,28760246.0,PG-13
Jersey Boys,Clint Eastwood,"['John Lloyd Young', 'Erich Bergen', 'Michael Lomenda', 'Vincent Piazza', 'Christopher Walken']",John Lloyd Young,2014-06-05,6.0,134.0,United States,English,40000000.0,67600000.0,13319371.0,R
Tammy,Ben Falcone,"['Melissa McCarthy', 'Susan Sarandon', 'Allison Janney', 'Gary Cole', 'Dan Aykroyd', 'Kathy Bates']",Melissa McCarthy,2014-07-02,7.0,97.0,United States,English,20000000.0,100300000.0,21577049.0,R
Into the Storm,Steven Quale,"['Richard Armitage', 'Sarah Wayne Callies', 'Matt Walsh', 'Max Deacon', 'Alycia Debnam-Carey', 'Arlen Escarpeta']",Richard Armitage,2014-08-08,8.0,89.0,United States,English,50000000.0,161700000.0,17346427.0,PG-13
Wild Tales,Damián Szifron,"['Ricardo Darín', 'Oscar Martínez', 'Leonardo Sbaraglia', 'Érica Rivas', 'Rita Cortese', 'Julieta Zylberberg', 'Darío Grandinetti']",Ricardo Darín,2014-05-17,5.0,122.0,,Spanish,3300000.0,30600000.0,85100.0,R
If I Stay,R. J. Cutler,"['Chloë Grace Moretz', 'Mireille Enos', 'Jamie Blackley', 'Joshua Leonard', 'Stacy Keach', 'Aisha Hinds']",Chloë Grace Moretz,2014-08-18,8.0,106.0,United States,English,11000000.0,78900000.0,15679190.0,PG-13
